name,display_name,state,created_at,duration_hrs,steps,train_exact_acc,encoder_var,grad_encoder,train_acc,train_steps,q_halt_acc,lm_loss,q_halt_loss,grad_inner,grad_total,encoder_mean,encoder_std,encoder_norm,encoder_token_std,eval_exact_acc,eval_acc,arc_pass1,arc_pass2,arc_pass10,arc_pass1000,encoder_type,encoder_layers,halt_max_steps,halt_explore_prob,lr,batch_size,health
H7_hybrid_var_set1,H7_hybrid_var_set1,finished,2026-01-08T18:19:07Z,4.502743406456944,5000,67.1875,7.375,0.10791015625,96.5618833899498,4,92.1875,0.07958830848009533,0.2337875571101904,0.9941802620887756,1,0.00921630859375,6.8125,153,2.609375,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,⚠️ Warning
H5_hybrid_var_2L,H5_hybrid_var_2L,finished,2026-01-08T15:19:04Z,2.9953702111733334,5000,82.03125,8.0625,0.0341796875,97.33277708292007,4,94.53125,0.05743497970724709,0.13739408645778894,0.1630423069000244,0.166015625,-0.0010528564453125,5.34375,119.5,2.765625,,,0.0,0.0,0.0,0.0,hybrid_variational,2,16,0.1,,128,❌ Failed
H4_hybrid_std_set1,H4_hybrid_std_set1,finished,2026-01-08T10:05:36Z,5.219224907515001,5000,80.46875,0.7578125,0.08251953125,97.36905992031096,4,89.84375,0.04695396411176264,0.23078090697526932,0.2601497173309326,0.2734375,-0.09326171875,1.3828125,31.125,0.859375,,,0.0,0.0,0.0,0.0,hybrid_standard,4,16,0.1,,128,⚠️ Warning
H3_hybrid_std_8L,H3_hybrid_std_8L,finished,2026-01-08T02:00:47Z,8.0749057580475,10000,75.0,155,0.16796875,97.60233759880066,4,95.3125,0.05884699672709781,0.0883739679120481,0.1821502447128296,0.248046875,-0.279296875,18.5,410,12.4375,,,0.0,0.0,0.0,0.0,hybrid_standard,8,16,0.1,,64,⚠️ Warning
H2_hybrid_std_2L,H2_hybrid_std_2L,finished,2026-01-07T23:03:21Z,2.9521420131233334,5000,79.6875,2.671875,0.029296875,98.45263212919237,4,97.65625,0.042852023454262506,0.07941438816487789,0.15764832496643066,0.16015625,-0.05712890625,2.53125,57,1.609375,,,0.0,0.0,0.0,0.0,hybrid_standard,2,16,0.1,,128,❌ Failed
H1_hybrid_std_4L,H1_hybrid_std_4L,finished,2026-01-07T18:31:46Z,4.520122609522778,5000,77.34375,4.03125,0.404296875,98.73952269554138,4,91.40625,0.03696861226086152,0.18493069522082808,0.9143985509872437,1,-0.1279296875,2.890625,65,1.984375,,,0.0,0.0,0.0,0.0,hybrid_standard,4,16,0.1,,128,✅ Healthy
D6a_hybrid_freeze100_fixed,D6a_hybrid_freeze100_fixed,killed,2026-01-07T14:45:05Z,3.7733294482205557,4364,0.0,6.59375,0.99609375,63.68608474731445,4,100.0,1.0777376762788142,0.004090834408998489,0,0.99609375,-0.037353515625,6.375,142,2.46875,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,✅ Healthy
D6_hybrid_nofreeze_fixed,D6_hybrid_nofreeze_fixed,finished,2026-01-07T10:12:36Z,4.536140942748333,5000,76.5625,5.9375,0.046142578125,96.84828221797945,4,95.3125,0.06622262130397716,0.15631561167538166,0.26546046137809753,0.26953125,-0.0810546875,6.21875,139,2.375,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,❌ Failed
D1-full_nofreeze,D1-full_nofreeze,killed,2026-01-04T11:09:48Z,71.04161839572251,73026,95.703125,0.423828125,0.007144230417907238,99.47559535503387,4,99.21875,0.01785561388267193,0.01439736143220216,0.04773624613881111,0.04826788976788521,0.01068115234375,1,22.625,0.625,,,2.25,2.5,4.25,6.375,standard,2,16,0.1,,256,❌ Failed
D5c_hybrid_nofreeze,D5c_hybrid_nofreeze,finished,2026-01-04T06:40:15Z,4.4873125109066665,5000,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,Unknown
D5a_hybrid_8L,D5a_hybrid_8L,killed,2026-01-04T04:15:56Z,2.4004759516180556,3093,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.0,0.0,0.0,0.0,hybrid_variational,8,16,0.1,,64,Unknown
D5_hybrid_4L,D5_hybrid_4L,finished,2026-01-03T23:55:24Z,4.33686414847,5000,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,Unknown
D5b_hybrid_set1,D5b_hybrid_set1,finished,2026-01-03T19:46:09Z,4.149264075735,5000,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,Unknown
D5a_hybrid_8L_failed,D5a_hybrid_8L_failed,killed,2026-01-03T18:33:02Z,1.214216089006111,1620,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,hybrid_variational,8,16,0.1,,64,Unknown
D5_hybrid_4L_failed,D5_hybrid_4L_failed,killed,2026-01-03T15:36:58Z,2.929353620677222,3552,0.0,NaN,NaN,0.0,4,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,0.0,0.0,0.0,0.0,hybrid_variational,4,16,0.1,,128,Unknown
D4_pretrained_lpn_var2,D4_pretrained_lpn_var2,finished,2026-01-03T07:00:46Z,6.637981201241666,6250,21.09375,2.984375,0.443359375,88.85961472988129,4,96.484375,0.270540369086574,0.1012058351188898,0,0.443359375,0.0242919921875,2.984375,65,1.6953125,,,0.0,0.0,0.0,0.0,lpn_variational,2,16,0.1,,256,✅ Healthy
D1-full_1000_frozen,D1-full_1000_frozen,crashed,2026-01-02T23:00:00Z,0.9259744856447223,1028,0.0,0.0673828125,0.9999998211860656,67.2774687409401,4,100.0,1.1678014623994746,0.016470168717205524,0,0.9999998211860656,0.04833984375,1,22.625,0.232421875,,,,,,,standard,2,16,0.1,,256,❌ Failed
D0_baseline_no_pretrain,D0_baseline_no_pretrain,finished,2026-01-02T20:14:55Z,2.7462800717641667,2500,48.828125,0.55859375,0.062281284481287,95.52694857120514,4,85.15625,0.114007598777754,0.30177754163742065,0.21368181705474856,0.22257332503795624,0.0198974609375,1,22.625,0.7421875,,,0.0,0.0,0.0,0.25,standard,2,16,0.1,,256,⚠️ Warning
D1_pretrained_full,D1_pretrained_full,finished,2026-01-02T17:29:48Z,2.747427115613611,2500,81.25,0.359375,0.05167436972260475,97.94118851423264,4,96.484375,0.0460426052497184,0.08251176681369543,0.24217230081558228,0.24762403964996335,-0.0380859375,1,22.625,0.58984375,,,0.0,0.0,0.25,0.25,standard,2,16,0.1,,256,⚠️ Warning
D4_pretrained_lpn_var,D4_pretrained_lpn_var,finished,2026-01-02T14:48:40Z,2.6803847783399997,2500,0.0,2,1,67.48859882354736,4,100.0,0.9213157650104664,0.005163771100342274,0,1,-0.0703125,3.203125,71,1.3671875,,,0.0,0.0,0.0,0.0,lpn_variational,2,16,0.1,,256,✅ Healthy
D2_pretrained_freeze5k,D2_pretrained_freeze5k,crashed,2026-01-02T09:20:11Z,5.470818434250833,5013,0.0,0.046630859375,0.8519566059112549,60.70503741502762,4,100.0,1.3655081588855755,0.018113053869456053,0,0.8519566059112549,-0.0556640625,1,22.625,0.1962890625,,,0.0,0.0,0.0,0.0,standard,2,16,0.1,,256,❌ Failed
D2_pretrained_freeze5k,D2_pretrained_freeze5k,killed,2026-01-02T09:10:40Z,0.1534769780838889,154,0.0,0.146484375,0.869212806224823,34.03467312455177,4,100.0,2.712851706683903,0.08315091952681541,0.49443766474723816,0.9999997615814208,-0.035888671875,1,22.625,0.369140625,,,,,,,standard,2,16,0.1,,256,⚠️ Warning
